SN,Province,District,Sector,Cellule,Village,Code_vil_1,NEP Revision July 2023,,,,,,,,,,,,,,,,,,
130,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Rurama,11040112,Fill In,,,,,,,,,,,,,,,,,,
131,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Rutunga,11040113,GE,,,,,,,,,,,,,,,,,,
132,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Tetero,11040114,GE,,,,,,,,,,,,,,,,,,
133,Kigali City,Nyarugenge,Kimisagara,Katabaro,Akamahoro,11040201,GE,,,,,,,,,,,,,,,,,,
134,Kigali City,Nyarugenge,Kimisagara,Katabaro,Akishinge,11040202,GE,,,,,,,,,,,,,,,,,,
135,Kigali City,Nyarugenge,Kimisagara,Katabaro,Akishuri,11040203,GE,,,,,,,,,,,,,,,,,,
136,Kigali City,Nyarugenge,Kimisagara,Katabaro,Amahumbezi,11040204,GE,,,,,,,,,,,,,,,,,,
137,Kigali City,Nyarugenge,Kimisagara,Katabaro,Inganzo,11040205,GE,,,,,,,,,,,,,,,,,,
138,Kigali City,Nyarugenge,Kimisagara,Katabaro,Kigarama,11040206,GE,,,,,,,,,,,,,,,,,,
139,Kigali City,Nyarugenge,Kimisagara,Katabaro,Mpazi,11040207,Fill In,,,,,,,,,,,,,,,,,,
140,Kigali City,Nyarugenge,Kimisagara,Katabaro,Mugina,11040208,Fill In,,,,,,,,,,,,,,,,,,
141,Kigali City,Nyarugenge,Kimisagara,Katabaro,Ubumwe,11040209,GE,,,,,,,,,,,,,,,,,,
142,Kigali City,Nyarugenge,Kimisagara,Katabaro,Ubusabane,11040210,GE,,,,,,,,,,,,,,,,,,
143,Kigali City,Nyarugenge,Kimisagara,Katabaro,Umubano,11040211,GE,,,,,,,,,,,,,,,,,,
144,Kigali City,Nyarugenge,Kimisagara,Katabaro,Umurinzi,11040212,GE,,,,,,,,,,,,,,,,,,
145,Kigali City,Nyarugenge,Kimisagara,Katabaro,Uruyange,11040213,GE,,,,,,,,,,,,,,,,,,
146,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Akabeza,11040301,Fill In,,,,,,,,,,,,,,,,,,
147,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Amahoro,11040302,GE,,,,,,,,,,,,,,,,,,
148,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Birama,11040303,GE,,,,,,,,,,,,,,,,,,
149,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Buhoro,11040304,Fill In,,,,,,,,,,,,,,,,,,
150,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Bwiza,11040305,GE,,,,,,,,,,,,,,,,,,
151,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Byimana,11040306,GE,,,,,,,,,,,,,,,,,,
152,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Gakaraza,11040307,GE,,,,,,,,,,,,,,,,,,
153,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Gaseke,11040308,GE,,,,,,,,,,,,,,,,,,
154,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Ihuriro,11040309,GE,,,,,,,,,,,,,,,,,,
155,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Inkurunziza,11040310,GE,,,,,,,,,,,,,,,,,,
156,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Karambi,11040311,GE,,,,,,,,,,,,,,,,,,
157,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Kigina,11040312,GE,,,,,,,,,,,,,,,,,,
158,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Kimisagara,11040313,Fill In,,,,,,,,,,,,,,,,,,
159,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Kove,11040314,Fill In,,,,,,,,,,,,,,,,,,
160,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Muganza,11040315,GE,,,,,,,,,,,,,,,,,,
